종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
042660,한화오션,"129,800","-2,000","1.52","138,800,045,600","39,772,458,541,200"
000720,현대건설,"114,300","-1,100","0.95","178,269,084,950","12,727,963,939,500"
086280,현대글로비스,"255,000","-6,000","2.30","63,295,103,500","19,125,000,000,000"
064350,현대로템,"201,500","-4,500","2.18","90,328,779,500","21,992,172,039,500"
012330,현대모비스,"435,000","-11,000","2.47","120,003,864,584","39,468,673,605,000"
069960,현대백화점,"109,800","-1,100","0.99","9,743,451,350","2,484,643,667,400"
017800,현대엘리베이터,"103,300","4,900","4.98","61,979,926,450","4,038,243,370,500"
307950,현대오토에버,"436,500","-19,500","4.28","54,104,297,500","11,970,568,143,000"
011210,현대위아,"83,900","-2,600","3.01","10,519,519,100","2,281,667,463,700"
004020,현대제철,"33,500","-300","0.89","19,376,497,250","4,470,433,797,500"
005380,현대차,"499,000","-7,000","1.38","574,835,991,500","102,174,125,234,000"
001450,현대해상,"35,450","1,950","5.82","47,659,603,375","3,169,230,000,000"
008770,호텔신라,"48,800","-1,150","2.30","15,403,051,675","1,915,308,304,800"
298040,효성중공업,"2,384,000","-21,000","0.87","86,317,426,000","22,229,722,432,000"
298020,효성티앤씨,"404,000","1,500","0.37","12,333,836,250","1,748,383,528,000"
093370,후성,"8,050","-230","2.78","3,380,963,190","863,405,406,500"
