date,f01_raw,f01_score,f02_raw,f02_score,f03_raw,f03_score,f04_raw,f04_score,f05_raw,f05_score,f06_raw,f06_score,f07_raw,f07_score,f08_raw,f08_score,f10_score,index_score_total_raw,index_score_total,bucket_5pt,w_f08_applied
2017-05-16,0.10879619077614211,,,,,,,,6.227,,12.51,,-0.050520423244303725,,,,,0.0,0.0,0.0,
2017-05-17,0.10602498743002253,,,,,,,,6.228000000000001,,12.83,,-0.05993825422248178,,,,,0.0,0.0,0.0,
2017-05-18,0.10123300314914219,,,,,,,,6.229,,13.18,,-0.06753341127117829,,,,,0.0,0.0,0.0,
2017-05-19,0.09820958825982706,,,,,,,,6.231,,12.88,,-0.07138114561335951,,,,,0.0,0.0,0.0,
2017-05-22,0.10596451966639853,,,,,,,,6.231,,12.79,,-0.06843216297375254,,,,,0.0,0.0,0.0,
2017-05-23,0.10699176823641832,,,,,,,,6.23,,12.88,,-0.0801309094406959,,,,,0.0,0.0,0.0,
2017-05-24,0.10660268903243053,,,,,,,,6.2299999999999995,,12.95,,-0.06570885965251283,,,,,0.0,0.0,0.0,
2017-05-25,0.11764959191618796,,,,,,,,6.2299999999999995,,13.56,,-0.08906466940688751,,,,,0.0,0.0,0.0,
2017-05-26,0.12222645985956526,,,,,,,,6.229999999999999,,13.51,,-0.10895222903302137,,,,,0.0,0.0,0.0,
2017-05-29,0.11888802125463793,,,,,,,,6.23,,14.02,,-0.07635626313090627,,,,,0.0,0.0,0.0,
2017-05-30,0.11013902925031704,,,,,,,,6.23,,13.6,,-0.08425123869434792,,,,,0.0,0.0,0.0,
2017-05-31,0.10873629027398057,,,,,,,,6.229000000000001,,13.18,,-0.07056304006265313,,,,,0.0,0.0,0.0,
2017-06-01,0.1047646705538916,,,,,,,,6.23,,12.77,,-0.08691272523837301,,,,,0.0,0.0,0.0,
2017-06-02,0.11678989098174464,,,,,,,,6.231,,12.68,,-0.12087438499959413,,,,,0.0,0.0,0.0,
2017-06-05,0.11326118549837183,,,,,,,,6.231,,12.97,,-0.10755999153339091,,,,,0.0,0.0,0.0,
2017-06-07,0.1056438183341264,,,,,,,,6.231,,12.89,,-0.1052231040718874,,,,,0.0,0.0,0.0,
2017-06-08,0.10599750031924926,,,,,,,,6.228999999999999,,12.12,,-0.129400621567469,,,,,0.0,0.0,0.0,
2017-06-09,0.11545656923084913,,,,,,,,6.23,,11.43,,-0.12662150090089552,,,,,0.0,0.0,0.0,
2017-06-12,0.10252598842117311,,,,,,,,6.235000000000001,,12.09,,-0.039437047286564386,,,,,0.0,0.0,0.0,
2017-06-13,0.10728618901154507,,,,,,,,6.236999999999999,,11.54,,-0.07915601969369268,,,,,0.0,0.0,0.0,
2017-06-14,0.10557356991662314,,,,,,,,6.238,,11.63,,-0.06325556292088441,,,,,0.0,0.0,0.0,
2017-06-15,0.09960422996080731,,,,,,,,6.2379999999999995,,11.71,,-0.02625741433603168,,,,,0.0,0.0,0.0,
2017-06-16,0.09851116092209189,,,,,,,,6.238999999999999,,11.46,,-0.015494049168390145,,,,,0.0,0.0,0.0,
2017-06-19,0.10354286570854887,,,,,,,,6.239999999999999,,11.74,,-0.022716436957769925,,,,,0.0,0.0,0.0,
2017-06-20,0.10455107467595148,,,,,,,,6.239000000000001,,11.71,,-0.02846373750019726,,,,,0.0,0.0,0.0,
2017-06-21,0.09671553099262731,,,,,,,,6.2379999999999995,,11.63,,-0.0042345623981416836,,,,,0.0,0.0,0.0,
2017-06-22,0.10219471624656484,,,,,,,,6.236000000000001,,11.18,,-0.015394865768966204,,,,,0.0,0.0,0.0,
2017-06-23,0.10348879723775695,,,,,,,,6.239,,11.31,,-0.009377827573456399,,,,,0.0,0.0,0.0,
2017-06-26,0.10773228317372086,,,,,,,,6.239000000000001,,11.87,,-0.006933115602886897,,,,,0.0,0.0,0.0,
2017-06-27,0.10697589167383303,,,,,,,,6.239000000000001,,11.74,,-0.009104723146357019,,,,,0.0,0.0,0.0,
2017-06-28,0.10090968488850915,,,,,,,,6.238999999999999,,11.98,,0.03268829964019937,,,,,0.0,0.0,0.0,
