date,n,ret_net_mean,ret_gross_mean,hit_up20,hit_pos,cum_ret_net
2025-07-03,10,-0.041553011248360285,-0.038669018303270096,0.2,0.3,22.002950480589657
2025-07-04,10,-0.07529710524395802,-0.07251464919153262,0.0,0.2,20.270894897331143
2025-07-07,10,-0.08357159129569187,-0.08081403339587952,0.0,0.2,18.493252362477765
2025-07-08,10,-0.05938183467600909,-0.0565514891434394,0.0,0.3,17.335707273391385
2025-07-09,10,-0.048126917992314014,-0.04526270611064594,0.0,0.3,16.4532661931138
2025-07-10,10,-0.12596330574124964,-0.12333330565822434,0.0,0.1,14.25479508744719
2025-07-11,10,-0.10522223598029898,-0.10252982545666897,0.0,0.2,12.649651438924716
2025-07-14,10,-0.07442232830723335,-0.07163724002731528,0.0,0.2,11.63381259825776
2025-07-15,10,-0.10839164540355947,-0.10570877171871565,0.0,0.2,10.264412863012383
2025-07-16,10,-0.1480302605792932,-0.1454666605609761,0.0,0.1,8.59693889162792
2025-07-17,10,-0.13211665725953942,-0.12950517277787302,0.0,0.0,7.329023405341971
2025-07-18,10,-0.11105044242975767,-0.1083755691371692,0.0,0.1,6.404081671170938
2025-07-21,10,-0.09021840009294235,-0.08748084262080477,0.0,0.1,5.7360972686404175
2025-07-22,10,-0.12562931969397756,-0.12299831463789124,0.0,0.1,4.889845951388661
2025-07-23,10,-0.0776428052590625,-0.07486740748150703,0.0,0.4,4.432541789179114
2025-07-24,10,-0.005457529003069284,-0.0024649237743924355,0.1,0.6,4.402893534804282
2025-07-25,10,-0.024675994188506245,-0.021741217842032312,0.0,0.4,4.269571765338334
2025-07-28,10,-0.01583572714411794,-0.012874350194702022,0.0,0.5,4.186124264696089
2025-07-29,10,-0.045543139186842094,-0.042671152644776444,0.0,0.4,3.949931885468776
2025-07-30,10,0.052760476995338465,0.055928261780680485,0.1,0.6,4.211092652840544
2025-07-31,10,0.07166658088975988,0.07489125465372104,0.3,0.5,4.584553845969374
2025-08-01,10,0.09332294091498469,0.09661277925274292,0.3,0.7,5.105720834573325
2025-08-04,10,0.07976542802497263,0.08301447143929051,0.3,0.7,5.592746270344059
2025-08-05,10,0.022249968994707492,0.02532594683521311,0.3,0.4,5.739434670449188
2025-08-06,10,-0.0038026477792999836,-0.0008050629682046173,0.2,0.3,5.713806974165867
2025-08-07,10,0.015452476568128638,0.018508000569838166,0.2,0.5,5.817551919117103
2025-08-08,10,0.10974039817174011,0.1130796370829891,0.4,0.7,6.565712781277526
2025-08-11,10,0.046214582931848824,0.049362670944682864,0.2,0.5,6.915359042046425
2025-08-12,10,0.0867673997728136,0.09003751230974284,0.2,0.6,7.602154164393021
2025-08-13,10,0.1423886449452922,0.1458261233152379,0.4,0.6,8.827003239471445
2025-08-14,10,0.2052458423893782,0.20887245976868424,0.4,0.8,10.84395479751991
2025-08-18,10,0.1750096466068473,0.17854528245420997,0.4,0.8,12.916761141061343
2025-08-19,10,0.17324469547742188,0.17677502053903896,0.3,0.8,15.327766186976532
2025-08-20,10,0.1990251924866812,0.20263309176196714,0.5,0.8,18.577402995217064
2025-08-21,10,0.14039224622415855,0.14382371737628744,0.3,0.7,21.325918576951157
2025-08-22,10,0.09691718954280787,0.10021784307202397,0.3,0.5,23.489683859390826
2025-08-25,10,0.101025143990862,0.10433815846626078,0.2,0.5,25.963757697576476
2025-08-26,10,0.07681368821028103,0.08005384975955972,0.2,0.5,28.03494337433568
2025-08-27,10,0.13615495147907045,0.1395736724965601,0.3,0.6,31.988194680665913
2025-08-28,10,0.056073451690677026,0.05925120530659682,0.2,0.3,33.837956621454886
2025-08-29,10,0.08612892846954133,0.0893971198290284,0.4,0.4,36.838512495329155
2025-09-01,10,0.03795402888475421,0.04107726066675449,0.2,0.2,38.27463649153301
2025-09-02,10,0.09836537369500382,0.10167038484955246,0.3,0.4,42.13790078675809
2025-09-03,10,0.010488170250014861,0.013528756519573592,0.1,0.4,42.590338434437854
2025-09-04,10,-0.004274391095566521,-0.0012782257728851775,0.1,0.5,42.404016279980965
2025-09-05,10,0.06817331896517528,0.07138748140940351,0.2,0.5,45.36301212620577
2025-09-08,10,-0.06882690627300542,-0.06602498121665537,0.1,0.3,42.17198943606119
2025-09-09,10,0.011548151381088122,0.014591927162575869,0.2,0.3,42.67054610549157
2025-09-10,10,-0.044345921258283974,-0.041470332255049126,0.1,0.4,40.73393550659118
2025-09-11,10,-0.1376253767858155,-0.13503046819038664,0.0,0.2,34.99028690774164
2025-09-12,10,-0.13399584823730554,-0.13139001829218205,0.0,0.1,30.167737885234807
2025-09-15,10,-0.13706071503420522,-0.1344641073562741,0.0,0.2,25.895865444685835
